location,details
"Coquitlam,chinese","Kashgar Uyghur Cuisine,Henderson Place Mall, 1163 Pine Tree Way,Coquitlam
 Hee Rae Deung,435 North Road, Suite 24,Coquitlam
 Legend House,1169 Pacific Street, Suite 140,Coquitlam
 Libo Restaurant,1202-1163 Pinetree Way,Coquitlam
 Kam Ding Seafood Restaurant,3021 Anson Avenue,Coquitlam"
"Coquitlam,german","Ethno Restaurant Vayat,1147 Austin Avenue,Coquitlam"
"Coquitlam,indian","Jamila'S Kitchen & Grill,2733 Barnet Highway, Unit 103,Coquitlam
 Lazzez'S Grill Indian Cuisine,2786 Barnet Highway,Coquitlam
 India Grill & Pizzatown,1041A Ridgeway Avenue,Coquitlam"
"Coquitlam,italian","Jimoco Cafe & Pasta,1046 Austin Avenue, Suite A,Coquitlam
 Pasta Polo,2754 Barnet Highway,Coquitlam
 That Place,932 Brunette Ave,Coquitlam
 Vesuvio Pizzeria,1196 Lansdowne Drive,Coquitlam
 Sokela Restaurant And Lounge,1001B Austin Avenue,Coquitlam"
"Coquitlam,japanese","Kaya Japanese Restaurant,1046 Austin Avenue, Unit C,Coquitlam
 Pocha Korea Bistro,901 Lougheed Highway, Unit A,Coquitlam
 Nagano Japanese Restaurant,120-2918 Glen Drive,Coquitlam
 Sushi Mori,2565 Barnet Highway, Unit 26,Coquitlam
 Matoi Sushi,490-3025 Lougheed Highway,Coquitlam"
"Coquitlam,mexican","Mercado Mexican Market & Taqueria - By Original'S,2565 Barnet Highway, Unit 16,Coquitlam
 Loz Takos,2658-2929 Barnet Highway,Coquitlam
 Polito'S Latin Caf,942 Westwood Street,Coquitlam
 Tacoreano,2970 Glen Drive, Suite 100,Coquitlam"
"Coquitlam,thai","Basil House Thai Express,100 Schoolhouse Street, Unit 401,Coquitlam
 Chada Thai Fine Cuisine,107-2991 Lougheed Highway, Suite 107,Coquitlam
 Khob Khun Thai Cuisine,1143 Austin Avenue,Coquitlam
 Thai Orchid Restaurant,1143 Austin Avenue,Coquitlam"
"Coquitlam,vietnamese","Pho 99 Restaurant - Vietnamese Noodle House,403 North Road, Suite 302,Coquitlam
 Pho Holiday,1054 D Austin Avenue,Coquitlam
 Pho Hoa Noodle Soup,3025 Lougheed Highway,Coquitlam
 Delicious Pho,1169 Pacific Street, Suite 160,Coquitlam
 Pho Hoa,1150 Austin Ave,Coquitlam"
"Port Coquitlam,chinese","Poco Chinese Restaurant,2228 Mcallister Avenue,Port Coquitlam
 Double Fortune Restaurant,1475 Prairie Avenue, Suite B106,Port Coquitlam
 Sky Dragon Restaurant,1538 Prairie Avenue,Port Coquitlam
 Wah Wing Restaurant,207-2748 Lougheed Highway,Port Coquitlam
 Legend Seafood,2850 Shaughnessy Street, Suite 6102,Port Coquitlam"
"Port Coquitlam,indian","Spice Art Indian Cuisine,B104-1475 Prairie Avenue,Port Coquitlam
 Amrikko Indian Grill,2883 Shaughnessy Street,Port Coquitlam
 Namaste Indian Star Restaurant,2883 Shaughnessy Street,Port Coquitlam
 The Bombay Sweets,2803 Shaughnessy Street,Port Coquitlam
 The Bombay,2748 Lougheed Highway, Suite 205,Port Coquitlam"
"Port Coquitlam,italian","Jimoco Caf & Pasta,2-2840 Oxford Street,Port Coquitlam
 Hearthstone Pizza,2755 Lougheed Highway, Suite 25,Port Coquitlam"
"Port Coquitlam,japanese","Sushi Express,2570 Kingsway Avenue,Port Coquitlam
 Hiroba Sushi,2573 Shaughnessy Street,Port Coquitlam
 Sushi Fu,2640 Shaughnessy Street,Port Coquitlam
 Yokozna,1475 Prairie Ave, 101B,Port Coquitlam
 Sushi Koo,2239 Mcallister Avenue, Unit E,Port Coquitlam"
"Port Coquitlam,mexican","Santa Rosa,1585 Broadway Street, Unit 121,Port Coquitlam
 Si Senior Taqueria,2851 Shaughnessy Street,Port Coquitlam
 Taco Del Mar,2020 Oxford Connector, Unit 113,Port Coquitlam
 The Mexican Gourmet,2755 Lougheed Highway, Suite 18,Port Coquitlam"
"Port Coquitlam,thai","Tip Thai,2606 Shaughnessy Street,Port Coquitlam
 Sang Thai,2850 Shaughnessy Street, Suite 6102,Port Coquitlam
 Khai Thai Cuisine,2020 Oxford Connector, Suite 203,Port Coquitlam
 Noodle House,1466 Prairie Avenue,Port Coquitlam
 All Thai'D Up Restaurant,2636 Kingsway Avenue,Port Coquitlam"
"Port Coquitlam,vietnamese","Pho T&T,2581 Mary Hill Road, Suite 106,Port Coquitlam
 Un Pho Get A Bowl,2823 Shaughnessy Street,Port Coquitlam
 Pho Huy,2755 Lougheed Highway, Suite 22,Port Coquitlam"
